order_id,user_id,checkout_version,items_in_cart,items_list,upsell_clicked,order_value,date_of_purchase
b50e602c-c82b-4fc9-b86b-525b467893ea,bb1fbc9e-72f3-416b-995a-b627d643044d,B,6,"Adidas IU Hoodie, IU Socks, Adidas IU Hoodie, IU Umbrella, Adidas Track Pants, Women's Volleyball Jersey",1,267,2023-05-26
c95c251f-3c3e-41e1-b4d9-3c72f65bcf2b,759e092c-d628-43ce-b93e-cd29cdcffef1,A,1,IU Keychain,0,10,2024-11-08
ffbe8b23-fc33-4320-9ba4-f50afe37a575,87507d8b-c391-4dbb-ad79-6c1df05e5f47,A,4,"IU Wall Art Poster, Adidas Track Pants, IU Keychain, IU Umbrella",0,130,2023-10-30
3da820ea-54a5-4551-9f62-06f5fdbe452b,92f77a1a-12f1-4fee-b238-638a2fa1a6d1,A,5,"IU Keychain, Women's T-Shirt, IU Wall Art Poster, Adidas Track Pants, IU Golf Cap",0,161,2023-09-21
fc75afdd-8f22-47af-8998-c5e8c354d903,22d4cadf-2732-410a-9c0d-76c3317adde0,A,1,Youth Sweatshirt,0,35,2024-12-29
9d96a66e-6490-426b-8bea-b5fc305d4eea,54512bdb-6795-4d83-b7f8-09da7aa4ff88,B,1,IU Keychain,0,10,2023-06-29
de9ed5a5-7fcf-4c13-8280-729ff21a3d25,532e0359-7045-44d2-9747-7785de1247e6,A,5,"IU Keychain, IU Wall Art Poster, IU Drinkware Cup, Women's T-Shirt, IU Baseball Cap",0,110,2024-05-05
acf02550-4462-4519-a7ea-cf704e018f12,56ffa418-0ffc-4e66-9e6b-b03414d387ef,B,5,"IU Socks, IU Duffel Bag, IU Golf Cap, Men's Basketball Jersey, Youth Football T-Shirt",1,195,2024-12-19
f809b6ca-e92b-41bd-87bd-4ebd30b0d2f3,22c9d50c-a84a-4436-9c55-3e44eebe7cf3,B,5,"IU Car Decal, Adidas Track Pants, Men's Basketball Jersey, IU Umbrella, Men's Basketball Jersey",0,243,2023-02-24
3f5f2ea4-126f-4d4a-a2fa-585aba85bdb9,afaeb4d6-77ea-4098-94d9-337747ac989f,A,2,"IU Socks, IU Sports Equipment Bag",0,57,2024-08-13
73240931-efa7-4e49-81cc-81346b945dfa,1fad3813-27c6-4d8f-ba4c-637505d510dc,B,2,"Youth Football T-Shirt, IU Pet Collar",1,40,2024-10-02
7bc617fb-1ced-4fb5-92b2-79140c153340,07915df7-e5bf-4a3d-83d9-9fe71db59abb,A,5,"IU Water Bottle, Women's T-Shirt, IU Pet Collar, IU Duffel Bag, IU Umbrella",0,141,2024-11-04
6517eaf5-01b7-4309-a68d-f57c6455a08f,db312037-b792-4b00-beec-d702d2846b92,A,5,"IU Water Bottle, Men's Basketball Jersey, IU Blanket, IU Keychain, IU Blanket",0,183,2023-06-24
51b56f16-a92c-4a6f-a1d4-cf1b25c653cd,540ac0c5-b8ba-4401-a898-39ea77de5741,A,3,"IU Baseball Cap, IU Blanket, Adidas IU Hoodie",0,112,2023-11-11
08ce61e5-287a-4084-b34c-6bb5f28731c9,df82aa17-5158-4c25-a6ea-67eb04c9ec2e,B,5,"IU Blanket, IU Sports Equipment Bag, IU Water Bottle, Youth Football T-Shirt, IU Pet Collar",0,143,2023-10-04
84a61a53-d6bf-4442-8465-ff851c330c78,14f853d5-1bae-4794-9d34-603bd18ef7b8,A,4,"Adidas T-Shirt, IU Duffel Bag, IU Drinkware Cup, IU Water Bottle",0,118,2024-03-17
73eb0de8-0dc0-45b7-894e-d7ba57138b6c,1e5f6835-546f-438b-ae8e-3f0e492d9bf5,A,5,"Youth Sweatshirt, IU Car Decal, IU Socks, IU Wall Art Poster, Men's Jersey",0,155,2024-06-10
de5a9c63-7300-4666-a9f7-14d6f43d5e49,5b18ef05-c123-4212-8928-e255e5c1eff6,A,3,"IU Wall Art Poster, Youth Football T-Shirt, Adidas IU Hoodie",0,110,2024-08-12
7ef39238-a12f-4a2d-89b9-bc899684fa13,b4dbd8ea-540f-44f6-8f25-9018459fa4e4,A,4,"IU Water Bottle, Adidas T-Shirt, Women's Volleyball Jersey, IU Umbrella",0,143,2023-07-22
d3ea534d-c828-4f2c-b049-2af3046dd371,51c98e74-a1e7-4dc9-9ca6-9f70f9d083ee,B,5,"IU Golf Cap, Women's Volleyball Jersey, IU Duffel Bag, IU Keychain, IU Car Decal",0,171,2023-02-28
00de3c61-61f9-4b50-8935-06ac3d8b9e27,dcb20984-8b53-4d04-a40b-eaf088249132,B,2,"Men's Basketball Jersey, IU Umbrella",0,100,2024-01-21
4734ff51-6ae9-485d-9b35-7f823656bd96,f62e1aca-e255-485a-a596-9a36b9aef87f,A,1,Women's Volleyball Jersey,0,70,2023-05-17
0bff89bc-e80c-4ac0-b4d5-7c75132403e4,51da9e56-7fb6-4e6d-a277-f7218e8fce8c,A,4,"Youth Sweatshirt, Men's Jersey, IU Socks, IU Car Decal",0,120,2023-11-25
